,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
21347,-1.0,-6.0,1.0,2.0,2.0,11.0
21348,0.0,0.0,0.0,0.0,1.0,1.0
21349,2.0,-33.0,3.0,1.0,1.0,5.0
21350,1.0,5.0,1.0,0.0,0.0,28.0
21351,0.0,-22.0,0.0,0.0,2.0,22.0
21352,-1.0,-21.0,0.0,1.0,0.0,5.0
21353,-3.0,27.0,0.0,3.0,0.0,14.0
21354,7.0,197.0,7.0,0.0,0.0,54.0
21355,1.0,30.0,1.0,0.0,0.0,24.0
21356,1.0,9.0,1.0,0.0,0.0,16.0
21357,0.0,2.0,0.0,0.0,1.0,71.0
21358,0.0,0.0,0.0,0.0,1.0,1.0
21359,2.0,0.0,2.0,0.0,0.0,4.0
21360,0.0,0.0,0.0,0.0,1.0,4.0
21361,0.0,0.0,0.0,0.0,2.0,2.0
21362,-1.0,67.0,0.0,1.0,0.0,3.0
21363,2.0,-54.0,2.0,0.0,2.0,11.0
21364,0.0,0.0,0.0,0.0,1.0,2.0
21365,-1.0,26.0,0.0,1.0,1.0,56.0
21366,1.0,-18.0,1.0,0.0,5.0,41.0
21367,0.0,62.0,1.0,1.0,0.0,7.0
21368,-1.0,-39.0,0.0,1.0,0.0,2.0
21369,0.0,-23.0,0.0,0.0,1.0,3.0
21370,3.0,-12.0,4.0,1.0,1.0,30.0
21371,2.0,1.0,3.0,1.0,2.0,71.0
21372,1.0,0.0,1.0,0.0,1.0,2.0
21373,0.0,-85.0,0.0,0.0,1.0,29.0
21374,1.0,-9.0,1.0,0.0,1.0,17.0
21375,1.0,-5.0,1.0,0.0,1.0,25.0
21376,0.0,13.0,2.0,2.0,0.0,43.0
21377,3.0,0.0,3.0,0.0,0.0,4.0
21378,0.0,-28.0,1.0,1.0,2.0,7.0
21379,0.0,0.0,1.0,1.0,0.0,3.0
21380,1.0,-31.0,1.0,0.0,0.0,6.0
21381,-2.0,-4.0,0.0,2.0,0.0,23.0
21382,1.0,40.0,2.0,1.0,0.0,12.0
21383,-1.0,0.0,0.0,1.0,0.0,1.0
21384,1.0,-24.0,1.0,0.0,0.0,31.0
21385,2.0,-33.0,2.0,0.0,0.0,8.0
21386,0.0,-32.0,1.0,1.0,0.0,12.0
21387,1.0,14.0,1.0,0.0,1.0,22.0
21388,2.0,39.0,2.0,0.0,1.0,11.0
21389,3.0,5.0,3.0,0.0,1.0,49.0
21390,3.0,-3.0,4.0,1.0,2.0,27.0
21391,1.0,1.0,2.0,1.0,0.0,11.0
21392,2.0,-28.0,2.0,0.0,0.0,43.0
21393,4.0,10.0,5.0,1.0,1.0,70.0
21394,0.0,31.0,0.0,0.0,2.0,34.0
21395,2.0,-53.0,2.0,0.0,0.0,48.0
21396,2.0,26.0,2.0,0.0,1.0,71.0
21397,1.0,-6.0,1.0,0.0,1.0,4.0
21398,0.0,28.0,0.0,0.0,1.0,3.0
21399,0.0,0.0,0.0,0.0,1.0,6.0
21400,1.0,0.0,1.0,0.0,0.0,1.0
21401,0.0,-32.0,1.0,1.0,1.0,4.0
21402,3.0,52.0,3.0,0.0,3.0,20.0
21403,-2.0,-2.0,0.0,2.0,0.0,12.0
21404,0.0,-16.0,0.0,0.0,1.0,66.0
21405,1.0,0.0,1.0,0.0,0.0,3.0
21406,1.0,81.0,1.0,0.0,0.0,21.0
21407,0.0,0.0,0.0,0.0,1.0,2.0
21408,1.0,8.0,1.0,0.0,0.0,2.0
21409,1.0,17.0,1.0,0.0,0.0,19.0
21410,1.0,109.0,3.0,2.0,3.0,41.0
21411,0.0,0.0,0.0,0.0,1.0,1.0
21412,2.0,5.0,2.0,0.0,1.0,30.0
21413,1.0,-29.0,1.0,0.0,0.0,11.0
21414,4.0,53.0,5.0,1.0,0.0,71.0
21415,2.0,-14.0,2.0,0.0,2.0,10.0
21416,3.0,17.0,3.0,0.0,2.0,36.0
21417,-2.0,47.0,1.0,3.0,0.0,32.0
21418,-2.0,19.0,0.0,2.0,1.0,4.0
21419,1.0,6.0,1.0,0.0,1.0,3.0
21420,3.0,341.0,3.0,0.0,2.0,67.0
21421,3.0,-8.0,3.0,0.0,1.0,16.0
21422,1.0,14.0,2.0,1.0,0.0,6.0
21423,-1.0,0.0,0.0,1.0,0.0,1.0
21424,3.0,20.0,3.0,0.0,2.0,18.0
21425,2.0,37.0,2.0,0.0,0.0,5.0
21426,0.0,0.0,0.0,0.0,1.0,1.0
21427,0.0,-25.0,1.0,1.0,0.0,33.0
21428,2.0,-46.0,2.0,0.0,0.0,14.0
21429,0.0,0.0,0.0,0.0,1.0,1.0
21430,0.0,0.0,0.0,0.0,1.0,1.0
21431,2.0,-28.0,2.0,0.0,0.0,36.0
21432,1.0,19.0,1.0,0.0,0.0,41.0
21433,1.0,-14.0,1.0,0.0,0.0,3.0
21434,1.0,11.0,1.0,0.0,0.0,3.0
21435,-2.0,-23.0,0.0,2.0,0.0,6.0
21436,0.0,16.0,0.0,0.0,1.0,5.0
21437,1.0,24.0,1.0,0.0,0.0,8.0
21438,3.0,0.0,3.0,0.0,2.0,9.0
21439,0.0,-6.0,0.0,0.0,1.0,8.0
21440,1.0,24.0,1.0,0.0,0.0,9.0
21441,3.0,-150.0,3.0,0.0,0.0,58.0
21442,3.0,-67.0,3.0,0.0,2.0,71.0
21443,0.0,28.0,0.0,0.0,1.0,14.0
21444,3.0,16.0,3.0,0.0,1.0,10.0
21445,4.0,1.0,4.0,0.0,1.0,66.0
21446,0.0,40.0,2.0,2.0,1.0,45.0
21447,1.0,10.0,2.0,1.0,1.0,7.0
21448,-1.0,0.0,0.0,1.0,0.0,1.0
21449,3.0,-37.0,3.0,0.0,1.0,11.0
21450,1.0,51.0,1.0,0.0,0.0,14.0
21451,1.0,-1.0,1.0,0.0,1.0,71.0
21452,6.0,136.0,9.0,3.0,10.0,68.0
21453,0.0,0.0,0.0,0.0,1.0,1.0
21454,-1.0,0.0,0.0,1.0,1.0,2.0
21455,7.0,15.0,7.0,0.0,0.0,71.0
21456,1.0,7.0,2.0,1.0,0.0,10.0
21457,0.0,-32.0,0.0,0.0,2.0,18.0
21458,4.0,15.0,5.0,1.0,2.0,71.0
21459,1.0,26.0,1.0,0.0,0.0,38.0
21460,1.0,-6.0,1.0,0.0,0.0,8.0
21461,1.0,52.0,2.0,1.0,0.0,8.0
21462,1.0,0.0,2.0,1.0,2.0,12.0
21463,-1.0,-2.0,0.0,1.0,1.0,71.0
21464,0.0,0.0,0.0,0.0,1.0,2.0
21465,1.0,0.0,1.0,0.0,0.0,4.0
21466,1.0,-3.0,1.0,0.0,1.0,5.0
21467,4.0,145.0,7.0,3.0,2.0,43.0
21468,1.0,19.0,1.0,0.0,0.0,9.0
21469,4.0,-7.0,4.0,0.0,3.0,57.0
21470,2.0,7.0,2.0,0.0,0.0,15.0
21471,2.0,-61.0,2.0,0.0,0.0,6.0
21472,2.0,-24.0,2.0,0.0,0.0,23.0
21473,1.0,55.0,1.0,0.0,2.0,7.0
21474,4.0,-20.0,5.0,1.0,6.0,58.0
21475,1.0,-62.0,1.0,0.0,0.0,2.0
21476,-1.0,0.0,0.0,1.0,0.0,1.0
21477,3.0,160.0,5.0,2.0,4.0,28.0
21478,0.0,-8.0,1.0,1.0,1.0,71.0
21479,3.0,-23.0,3.0,0.0,2.0,14.0
21480,4.0,-7.0,4.0,0.0,1.0,12.0
21481,1.0,0.0,1.0,0.0,0.0,1.0
21482,8.0,-18.0,8.0,0.0,2.0,71.0
21483,1.0,25.0,1.0,0.0,0.0,56.0
21484,3.0,46.0,3.0,0.0,0.0,53.0
21485,-1.0,42.0,0.0,1.0,1.0,5.0
21486,2.0,-92.0,3.0,1.0,0.0,8.0
21487,0.0,-53.0,1.0,1.0,1.0,7.0
21488,1.0,-13.0,1.0,0.0,2.0,21.0
21489,7.0,-5.0,9.0,2.0,2.0,71.0
21490,1.0,32.0,2.0,1.0,5.0,17.0
