,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
237,0.0,57585.0,0.0,0.0,1.0,77.0
238,0.0,0.0,0.0,0.0,1.0,3.0
239,0.0,0.0,0.0,0.0,1.0,1.0
240,0.0,0.0,0.0,0.0,0.0,1.0
241,-2.0,389278.0,0.0,2.0,1.0,76.0
242,0.0,340980.0,2.0,2.0,0.0,70.0
243,0.0,1107135.0,0.0,0.0,1.0,78.0
244,1.0,570062.0,2.0,1.0,0.0,74.0
245,0.0,0.0,0.0,0.0,2.0,2.0
246,1.0,47.0,1.0,0.0,0.0,12.0
247,0.0,162994.0,1.0,1.0,0.0,56.0
248,-1.0,280000.0,1.0,2.0,2.0,59.0
249,0.0,-40.0,0.0,0.0,3.0,70.0
250,0.0,19.0,0.0,0.0,1.0,8.0
251,0.0,9.0,0.0,0.0,3.0,79.0
252,0.0,18.0,0.0,0.0,1.0,26.0
253,1.0,0.0,1.0,0.0,0.0,10.0
254,0.0,19.0,0.0,0.0,0.0,75.0
255,0.0,25.0,0.0,0.0,1.0,74.0
256,0.0,-24.0,0.0,0.0,4.0,72.0
257,0.0,0.0,0.0,0.0,1.0,2.0
258,0.0,25.0,0.0,0.0,1.0,32.0
259,0.0,8.0,0.0,0.0,3.0,66.0
260,0.0,33.0,0.0,0.0,0.0,79.0
261,0.0,3.0,0.0,0.0,3.0,53.0
262,0.0,29.0,0.0,0.0,0.0,74.0
263,0.0,26.0,0.0,0.0,0.0,73.0
264,0.0,-17.0,0.0,0.0,1.0,39.0
265,0.0,11.0,0.0,0.0,2.0,76.0
266,0.0,-24.0,0.0,0.0,1.0,14.0
267,0.0,-27.0,0.0,0.0,4.0,39.0
268,0.0,-25.0,0.0,0.0,1.0,9.0
269,0.0,-20.0,0.0,0.0,4.0,55.0
270,0.0,21.0,0.0,0.0,2.0,75.0
271,0.0,0.0,0.0,0.0,1.0,5.0
272,0.0,-16.0,0.0,0.0,1.0,53.0
273,-1.0,0.0,0.0,1.0,0.0,7.0
274,0.0,0.0,0.0,0.0,1.0,1.0
275,1.0,10.0,1.0,0.0,2.0,78.0
276,0.0,13.0,0.0,0.0,1.0,14.0
277,0.0,19.0,0.0,0.0,1.0,13.0
278,0.0,-15.0,0.0,0.0,2.0,75.0
279,0.0,1.0,0.0,0.0,3.0,77.0
280,0.0,0.0,0.0,0.0,1.0,1.0
281,0.0,17.0,0.0,0.0,1.0,79.0
282,0.0,4.0,0.0,0.0,2.0,72.0
283,0.0,0.0,0.0,0.0,1.0,7.0
